_	a	determiner			banyin na basia	a man and a woman
ɔkye	brook	noun			nom fi ɔkye no mu	to drink from the brook
ɔkyena	tomorrow	adverb			ɔ bɛba ɔkyena	she will arrive tomorrow
Ɔlgyeria	Algeria	noun	Ɔman wɔ Abibir	a country in Africa	kɔ Ɔlgyeria	go to Algeria
ɔmampanyin	president	noun			ɔmampanyin no aba	the president has arrived
ɔno	that person	pronoun			ɔno na ɔ kaee	that person said it
ɔpepem	million	adjective	nkanee 1,000,000	the number 1,000,000	mbɔdambɔ ɔpepem	a million bottles
ɔpepepem	billion	adjective		the number 1 000 000 000	mbɔdambɔ ɔpepepem	a billion bottles
Ɔpɛ	dry season	noun			Ɔpɛ aba	the dry season has arrived
ɔpɛ	harmattan	noun			ɔpɛ mframa	harmattan winds
Ɔpɛnimba	December	noun			Ɔpɛnimba wɔ nda 31	December has 31 days
Ɔpɛpɔn	January	noun			Ɔpɛpɔn wɔ nda 31	January has 31 days
ɔrengye	orange	adjective			hyɛ kyɛw ɔrengye no	wear the orange cap
Ɔsandaa	August	noun			Ɔsandaa wɔ nda 31	August has 31 days
ɔsɔ 	fox	noun			nsɔ abiasa	three foxes
Ɔstreliya	Australia	noun			kɔ Ɔstreliya	go to Australia
ɔtisim	autism	noun			ɔtisim yɛ yare	autism is a disease
ɔtwe	antelope	noun			gyata pɛ ɔtwe nam	a lion likes antelope meat
ɔtwea	serves you right	exclamation			ɔtwea! ɔkyena so biom	serves you right! come again tomorrow
ɔtwea	dog	noun			ɔtwea puow	a dog barks
ɔware	oware	noun			wo bɛtumi atow ɔware?	can you play oware?
ɔwee		noun	eyam			
ɔwɔ	snake	noun	ɔwɔ yɛ abowa		ɔwɔ nnyi nan	a snake has no legs
ɔyɛadeyie	fixer	noun			ɔ yɛ ɔyɛadeyie	she is a fixer
pa	fade	verb			tam no apa	the cloth has faded
pa	good	adjective			akyɛde pa	a good gift
pa ... kyɛw	plead with ...	verb			me pa wo kyɛw	i plead with you; please
paa	very	adverb			ayɛ ade paa	you have done very well
paa	curse	verb			paa na bɔ mpae	to curse then to pray
paa		noun	adiwo			
paado	outside	noun			kɔ paado	go outside
paam	plan	verb			tiri koro mmpaam	one head does not plan
paanoo	bread	noun			paanoo gowgow	soft bread
paasole	parsley	noun			paasole yɛ haban	parsley is a plant
pade	option	noun		a thing you can choose	mpade anum	five options
padi	partner	noun			ɔ yɛ me padi	she is my partner
pae ... mu	split	verb			pae mu abien	split in two
paepe	pipe	noun			paepe nsu	pipe water
paepe	tap	noun			buei paepe no	open the tap
pagya	raise	verb			pagya wo nsa	raise your hand
pagya	lift up	verb			pagya wo ho!	lift yourself up!
pah	rump	noun			hwɛ ne pah	look at his rump
Pakestan	Pakistan	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Pakestan	go to Pakistan
Pakestannyi	Pakistani	noun	obi a ɔ fi Pakestan	someone from Pakistan	Pakestanfo no	the Pakistanis
Palestaen	Palestine	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Palestaen	go to Palestine
Palestaennyi	Palestinean	noun	obi a ɔ fi Palestaen	someone from Palestine	Palestaenfo no	the Palestineans
pam	sew	verb			pam tam	sew cloth
pamsam	tattered	verb			dea atete na apamsam	what is torn and tattered
pan	empty	adjective			bokiti pan	empty bucket
pan	bat	noun			mpan abiasa	three bats
pande	injection	noun			pande yɛ yaw	an injection is painful
panyin	elder	adjective			me nua panyin	my elder sibling
panyin	adult	noun			ɔ yɛ panyin	he is an adult
papa	good	noun			papa nye bɔne	good and evil
papa	father	noun			me papa ba yɛ me nua	my father's child is my sibling
papa	good	adjective			akyɛde papa	a good gift
papaah	fan	noun			anyinam papaah	electric fan
papaapa	very much	adverb			me da wo ase papaapa	thank you very much
papayɛ	virtue	noun			ndebɔneyɛ nye papayɛ	vice and virtue
pare	second	noun			mpare du	ten seconds
pasar	stroll	verb			pasar abɔntene	stroll outside
pata	pacify	verb			pata ko no	pacify the fight
pata	shade	noun			me tena pata no ase	I am sitting under the shade
pata	hut	noun			mpata du	ten huts
pataakowa	ant	noun			mpataakowa mpempem	thousands of ants
pataku	hyena	noun			mpataku abien	two hyenas
patapaa	bullying	noun			gyae patapaa no	stop the bullying
patapaanyi	bully	noun			ɔ yɛ patapaanyi	he is a bully
patu	owl	noun			patu yɛ anoma	an owl is a bird
paye	pie	noun			paye abiasa	three pies
pea	spear	noun			wɔ de pea wɔee no	they pierced him with a spear
pefee	clearly	adverb			wo hu no pefee	you see it clearly
pem	bump into	verb			kaar no apem biribi	the car has bumped into something
pen	clear	verb			pen wo mene mu	clear your throat
pene	agree	verb			wo pene so?	do you agree?
penke	pink	adjective			prako binom yɛ penke	some pigs are pink
penpen	frankly	adverb			ka no penpen	say it frankly
pentoa	beaker	noun			nsu wɔ pentoa no mu	there is water in the beaker
pepa	wipe	verb			pepa egua no so	to wipe the seat
pepere	wriggle	verb			gyae pepere	stop wriggling
pete	scatter	verb			pete beabiara	to scatter everywhere
petuw	pretend	verb			ɔ repetuw	he is pretending
pɛ	perfect	adjective			awiei pɛ	a perfect ending
pɛ	want	verb			me pɛ mbuukuu anan	I want four books
pɛ	will	noun			Nyame ne pɛ	God's will
pɛe	chisel	noun			hamɛr nye pɛe	hammer and chisel
pɛɛpol	purple	adjective			nhyiren pɛɛpol	purple flower
pɛn	pen	noun			pɛn mu enke	ink in a pen
pɛnsere	pencil	noun			pɛnsere na pɛn	pencil and pen
pɛnyi	buyer	noun			apɛfo nye atɔmfo	buyers and sellers
pɛpɛɛ	miserly	adjective			ɔ yɛ pɛɛpɛɛ	he is miserly
pɛr	same	adjective		to be equal	yɛ yɛ pɛr	we are the same
pɛsewa	pesewa	noun	sider koro yɛ mpɛsewa ɔha	currency of Ghana	sider kor yɛ mpɛsewa ɔha	one cedi makes a hundred pesewas
pɛsewaba	coin	noun			mpɛsewamba anan	four coins
pɛsɛmenkomenya	selfishness	noun	pɛ-sɛ-me-nko-me-nya	want-to-be-the-only-one-who-gets	pɛsɛmenkomenya nnyie	selfishness is not good
pɛtɛ	vulture	noun			pɛtɛ yɛ anoma	a vulture is a bird
pia	push	verb			pia lɔre no	to push the lorry
pia	bedroom	noun			dan no wɔ mpia abien	the house has two bedrooms
pia	room	noun			ɔ da pia no mu	she is sleeping in the room
piesie		noun	hwɛ 'abakan'			
pieto	underwear	noun			ɔ nnhyɛ pieto	he is not wearing underwear
pii	many	adjective			hyɛn pii	many vehicles
pintinn	firmly	adverb			gyina pintinn	to stand firmly
pira	injure	verb			me apira	I am injured
pirade	dangerous	adjective			agoro pirade	a dangerous game
pirahu	danger	noun			ɔ wɔ pirahu mu	he is in danger
pito	pito	noun	nsa a wɔ de atoko yɛ	a millet-based drink from West Africa	nom pito	drink pito
piza	pizza	noun			piza anum	five pizzas
planɛte	planet	noun	wimu akwantufu		Asaase yɛ planɛte	Earth is a planet
plastek	plastic	adjective			kɔɔpow plastek	plastic cup
po	sea	noun			nsutene kɔ po mu	a river goes into a sea
pofonyi	fisherman	noun			ɔ yɛ pofonyi	he is a fisherman
pohyɛn	ship	noun			pohyɛn kɛse	a big ship
pokyere	chain	noun			wo abubu me mpokyere	she has broken my chains
poliisi	police	noun			apoliisifo anum	five police
poma	window	noun			bue mpoma no	open the windows
poma	staff	noun			dua poma	wooden staff
poma	staff	noun			ɔhene ne poma	the king's staff
pon	table	noun			agua nye pon	chair and table
ponto	party	noun			me rekɔ ponto	I am going to a party
popo	tremble	verb		quiver	ne ano repopo	his lips are trembling
posɔfese	post office	noun			me rekɔ posɔfese	I am going to the post office
potaseyɔm	potassium	science			potaseyɔm (K) wɔ protɔn 19	potassium (K) has 19 protons
potumantu	suitcase	noun			potumantu tuntum	a black suitcase
pow	reject	verb			me bɛpow suro	I will reject fear
Powbere	Autumn	noun			me di Powbere wɔ Frans	I spend Autumn in France
pɔmpɔ	boil	noun			pɔmpɔ yɛ yaw	a boil is painful
pɔn	shut down	verb			adwuma no pɔn awimbere	the shop shuts down in the evening
pɔn	major	adjective			kurow pɔn	a major town
pɔnkɔ	horse	noun			pɔnkɔ fufuw	white horse
pɔɔn	pound	noun			pɔɔn du	ten pounds
pɔre	bleach	verb			mbaa bi pɔre hɔn ho yɛ kɔkɔɔ	some women bleach their skins to become fairer
pɔtee	specific	adjective			kyerɛ me ade pɔtee no	show me the specific thing
pɔtɔɔ	utterly	adverb			awie pɔtɔɔ	utterly finished
pɔw	knot	noun			kyekyere pɔw no	tie the knot
pɔw	point	noun			1 pɔw 5 (1.5) yɛ koro nye fa	1 point 5 (1.5) is one and a half.
pɔw	grove	noun			saman pɔw	grove of spirits
pɔw	joint	noun			tene wo mpɔw mu	stretch your joints
pra	sweep	verb			ɔ pra famu hɔ	she sweeps the floor
prako	pig	noun			prako binom yɛ penke	some pigs are pink
prakoba	piglet	noun			prakomba	piglets
prakonam	pork	noun			prakonam yɛ dɛw	pork is tasty
prakonam	pork	noun			prakonam na nantwinam	pork and beef
prakontwɛre	pigfeet	noun			prakɔntwere nkwan	pigfeet soup
prama	field	noun			wɔ wɔ prama no so	they are on the field
praye	broom	noun			praye na asawwura	broom and dustpan
prente	print	verb			prente imel no	print the email
prɛko	in advance	adverb			didi prɛko	eat in advance
prɛkopɛ	immediately	adverb			twa so prɛkopɛ	cut off immediately
prɛkɛsɛ	Tetrapleura tetraptera	noun		a fragrant tree and its fruit from West Africa	prɛkɛsɛ dua	T. tetraptera tree
prɛm	cannon	noun			tow prɛm no	shoot the cannon
prɛte	plate	noun			twitwuw wo prɛte mu	wash your plate
prɛɛgow	nail	noun			taabow na prɛɛgow	plank and nail
protɔn	proton	science			protɔn wɔ +1 kyeagye	a proton has a charge of +1
prɔw	rot	verb			mango no reprɔw	the mango is rotting
prɔwyɛ	corruption	noun			kɛtɛasehyɛ nye prɔwyɛ	bribery and corruption
puei	exit	verb			fa ha puei	pass here to exit
puow	bark	verb			bɔdɔm puow	a dog barks
puti	poke	verb			puti me wɔ Facebook	poke me on Facebook
puw	belch	verb			puw nwusiw	belch smoke
puw	frighten	verb			puw nyimpa bɔne	frighten evil people
Rahyia	Russia	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Rahyia	go to Russia
Rahyianyi	Russian	noun	obi a ɔ fi Rahyia	someone from Russia	Rahyiafo no	the Russians
redio	radio	noun			sɔ redio no	switch on the radio
Reyuniɔn	Reunion	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Reyuniɔn	go to Reunion
Romafo	Romans	noun			kenkan Romafo 5:1	read Romans 5:1
rosu	rose	noun			rosu yɛ nhyiren	a rose is a flower
Rwanda	Rwanda	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Rwanda	go to Rwanda
Rwandanyi	Rwandan	noun	obi a ɔ fi Rwanda	someone from Rwanda	Rwandafo no	the Rwandans
sa	heal	verb			sa yare	heal disease
sa	battle	noun			yɛ rekɔ sa	we are going to battle
sa	enema	noun			me hia sa	I need an enema
sa	deplete	verb			nsu no asa	the water is depleted
sa		noun	ako			
saa	whoa	exclamation		for emphasis	saa barima yi!	whoa, this man!
saa	kidney	noun			ɔkra wɔ saa	a cat has a kidney
saa ara	normal	adjective			braban saa ara	normal behaviour
saadwe	infertile	adjective			asaase saadwe	infertile land
saafee	key	noun			abow na saafee	door and key
saana	in fact	conjunction			saana ɛ yɛ wo de	in fact it is yours
saekɔ	psychology	noun			sua saekɔ	to learn pyschology
Saeprɔs	Cyprus	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Saeprɔs	go to Cyprus
Saeprɔsnyi	Cypriot	noun	obi a ɔ fi Saeprɔs	someone from Cyprus	Saeprɔsfo no	the Cypriots
safoa	key	noun			abow na safoa	door and key
Sahara Anee	Western Sahara	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Sahara Anee	go to Western Sahara
Sahara Aneenyi	Western Saharan	noun	obi a ɔ fi Sahara Anee	someone from Western Sahara	Sahara Aneefo no	the Western Saharans
sakasaka	centipede	noun			hwɛ sakasaka no	look at the centipede
sakasaka	dishevelled	adjective			ne ho sakasaka	dishevelled self
saman	sue	verb			saman obi	to sue someone
saman	ghost	noun			me hu saman	I see a ghost
samanade	hell	noun			soro nye samanade	heaven and hell
samansew	will	noun			ɔ kyerɛwee samansew ansaana ɔ wuee	he wrote a will before he died
samina	soap	noun			asesawnsu na samina	pail and soap
samunyi	journalist	noun			yɛyɛ asamufo	we are journalists
san	return	verb			san kɔ fie	to return home
Sanda	January	noun			Sanda wɔ nda 31	January has 31 days
sane	infect	verb			yareba no asane me	the disease has infected me
sanku	piano	noun			bɔ sanku no	play the piano
sansaw		noun	hwɛ 'akrɔma'			
santene	procession	noun			kɔ ka santene no ho	join the procession
santom	sweet potato	noun		<i>Ipomoea batatas</i>	me pɛ santom	I like sweet potato
Sao Tome na Prensepe	Sao Tome and Principe	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Sao Tome na Prensepe	go to Sao Tome and Principe
Sao Tome na Prensepenyi	Santomean	noun	obi a ɔ fi Sao Tome na Prensepe	someone from Sao Tome and Principe	Sao Tome na Prensepefo no	the Santomeans
sapɔw	sponge	noun			me sapɔw	my sponge
sare	desert	noun				water is scarce in the desert
saspan	saucepan	noun			noa wɔ saspan no mu	cook in the saucepan
satwanyi	pioneer	noun			wɔ yɛ asatwafo	they are pioneers
saw	scoop	verb			saw anhwea	scoop up sand
saw	dance	verb			saw anyigye mu	to dance with joy
Sawdi Arabia	Saudi Arabia	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Sawdi Arabia	go to Saudi Arabia
Sawdi Arabianyi	Saudi Arabian	noun	obi a ɔ fi Sawdi Arabia	someone from Saudi Arabia	Sawdi Arabiafo no	the Saudi Arabians
sayense	science	noun	abɔde nyansapɛ	the systematic study of the world using observation and experiment	yɛ resua sayense	we are learning science
se	tooth	noun			se fufuw	white tooth
se	say	verb			me se yiw	I say yes
seadeyɛ	able	adjective			basia ɔseadeyɛ	an able woman
sebɔ	leopard	noun			sebɔ wɔ dua	a leopard has a tail
sedua	toothbrush	noun			sedua nye seduru	toothbrush and toothpaste
seduru	toothpaste	noun			sedua nye seduru	toothbrush and toothpaste
Sehyɛls	Seychelles	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Sehyɛls	go to Seychelles
Sehyɛlsnyi	Seselwa	noun	obi a ɔ fi Sehyɛls	someone from Seychelles	Sehyɛlsfo no	the Seselwas
seisei	now	adverb			kɔ seisei	go now
sekan	knife	noun			sew sekan	sharpen a knife
Sekunde	Sekondi	noun			Sekunde na Takorade	Sekondi and Takoradi
sekyɛ	anchor	noun			pohyɛn ne sekyɛ	anchor of a ship
sekɛɛte	skirt	noun			sekɛɛte tiatia	short skirt
selekɔn	silicon	science			selekɔn (Si) wɔ protɔn 14	silicon (Si) has 14 protons
sema	minute	noun			sema anum	five minutes
sema	ideal	adjective			baa sema	an ideal woman
semɛnte	cement	noun			mboba na semɛnte	stones and cement
sen	carve	verb			sen dua no	carve the wood
sen	pass	verb			wo re sen a, frɛ me	if you are passing, call me
sen	more than	preposition			ɔ didi sen me	she eats more than me
senamambo	thunderbolt	noun			senamambo dededede	a loud thunderbolt
senaman		noun	aprandaa			
senamɔn	cinnamon	noun			senamɔn yɛ huahuam	cinnamon is fragrant
senasena	glossy	adjective			magazin senasena	a glossy magazine
sene	cinema	noun			me rekɔ sene	I am going to a cinema
Senegal	Senegal	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Senegal	go to Senegal
Senegalnyi	Senegalese	noun	obi a ɔ fi Senegal	someone from Senegal	Senegalfo no	the Senegalese
Sengapɔɔ	Singapore	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Sengapɔɔ	go to Singapore
Sengapɔɔnyi	Singaporean	noun	obi a ɔ fi Sengapɔɔ	someone from Singapore	Sengapɔɔfo no	the Singaporeans
senke	sink	noun			twe senke no mu nsu	drain the sink
sensan	stripe	noun			nsensan pii	many strips
sensene		verb	huane			
sera	anoint	verb			ɔ seraee me tiri mu ngo	she anointed my head with oil
sera	visit	verb			bɛsera me kakra ɛ!	do come and visit me!
sera akwan	spy	verb			sera man akwan	to spy on a country
seraban	camp	noun			kɔ seraban no	go to the camp
serade	grease	noun			serade wɔ kyɛnsee mu	grease in a pan
serdaa	scarlet	adjective			atare serdaa	a scarlet dress
serekye	silk	noun			serekye fufuw	white silk
serew	laugh	verb			ɔ reserew	he is laughing
serew	funny	adjective			asɛm serew	funny story
serew	smile	verb			serew kakra	to smile a bit
serɛ	thigh	noun			akokɔ serɛ	chicken thigh
serɛw	comb	verb			fa afe serɛw wo tirihwi	use a comb to comb your hair
sesa	change	verb			mbere sesa a sesa wo ho bi	if time changes, change with the times
sesaw	pick up	verb			sesaw mboba no	pick up the stones
sese	measure	verb			sese atere abien	measure two spoonfuls
setiiti	street	noun			setiiti foforo	new street
setɔɔ	store	noun			me bɛtɔ aduane wɔ setɔɔ hɔ	I will buy food from the store
sew	sharpen	verb			sew sekan	sharpen a knife
seyi	that	pronoun			anoma seyi	that bird
sɛ	that	conjunction			me se sɛ	I say that
sɛ	like	adverb			ɛ te sɛ fufu	it feels like fufu
sɛ	resemble	verb		to look like	wo sɛ wo nua	you resemble your sibling
sɛ	befit	verb			ɛ sɛ wo	it befits you
sɛ	be fitting	verb			ɛ sɛ sɛ	it is fitting that
sɛ	if	conjunction			sɛ obi dɔ wo	if someone loves you
sɛ ... a	if ... then	conjunction			sɛ A a B	if A then B
sɛbe	excuse my language	conjunction			sɛbe sɛbe o, nyee bɔn nso obi sesaw	excuse my language, shit smells but someone collects it
sɛdea	how	adverb	sɛ dɛn na		sɛdea yɛ didi	how to eat
sɛdea-ɛte	circumstance	noun			me sɛdea-ɛte mu yɛ den	my circumstances are difficult
sɛe	destroy	verb			sɛe biribiara	destroy everything
sɛɛ	that	adjective			kraman sɛɛ	that dog
sɛlɛri	celery	noun			di sɛleri no	eat the celery
sɛn	hang	verb			fa sɛn hɔ	hang it there
sɛn	how much	adverb			ɛ yɛ sɛn?	how much is it?
sɛn	pot	noun			dade sɛn	metal pot
sɛntɔw	sentence	noun			nkasafua bɔ mu yɛ sɛntɔw	words join to make sentences
sɛso	kind	noun			ɔno na ne sɛso	he and his kind
sɛsɛw	shrimp	noun			sɛsɛw anan	four shrimps
si	wash	verb			si ntare	wash clothes
si	build	verb			si dan	build a house
si	happen	verb			ma ɔ nsi	let it happen
si ... do	repeat	verb			si akenkan no do	repeat the reading
si ... konko	auction	verb			si dan no konko	to auction the house
si ... nkrum	sigh	verb			ɔ siee nkrum	he sighed
si ... so	repeat	verb			si akenkan no so	repeat the reading
siane	descend	verb			siane famu	descend to the ground
siantiri	reason	noun			biribiara wɔ siantiri	everything has a reason
siar		noun	nhyira			
sider	cowry	noun	nkaano sika		sider anum	five cowries
sider	cedi	noun	Gaanafo sika	currency of Ghana	mpɛsewa ɔha yɛ sider koro	hundred pesewas make one cedi
sidi	cedi	noun	Gaanafo hɔn sika ne din. Ɛ firi sider	Ghana's currency. A stylized form of the word for 'cowry' in Akan	sidi anum	five cedis
sie	save	verb			fa no sie	save it
sie	bury	verb			sie fun	to bury a corpse
siesie	tidy	verb			siesie dan no mu	tidy up the room
Siɛra Leon	Sierra Leone	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Siɛra Leon	go to Sierra Leone
Siɛra Leonnyi	Sierra Leonean	noun	obi a ɔ fi Siɛra Leon	someone from Sierra Leone	Siɛra Leonfo no	the Sierra Leoneans
sigrete	cigarette	noun			nom sigrete	smoke a cigarette
sika	money	noun			sika boa	money helps
sika kɔkɔɔ	gold	science			sika kɔkɔɔ (Au) wɔ protɔn 79	gold (Au) has 79 protons
sika kɔkɔɔ	gold	noun			huam na sika kɔkɔɔ	fragrance and gold
sikakorabea	bank	noun			me sika wɔ sikakorabea	my money is at the bank
sin	summary	noun	asɛm tentene ne tia	the short version	ne sin ara nye dɛ, wo ayɛ ade	the summary of it is that you have done well
sintɔ	defect	noun			dan no wɔ sintɔ pii	the building has many defects
sirete	slate	noun			pepa sirete no do	wipe the slate
Siria	Syria	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Siria	go to Syria
Sirianyi	Syrian	noun	obi a ɔ fi Siria	someone from Syria	Siriafo no	the Syrians
sisi	cheat	verb			mma nnsisi me	don't cheat me
sisinyi	cheater	noun			wɔ yɛ asisifo	they are cheaters
sisiw	waist	noun			wo sisiw	your waist
siw	anthill	noun			siw tenten	a tall anthill
siw	pound	verb			me siw fufu	I pound fufu
siw	block	verb			siw kwan no	to block the way
skɔlahyepe	scholarship	noun			me wɔ skɔlahyepe	I have a scholarship
Skɔtasaase	Scotland	noun			sera Skɔtasaase	visit Scotland
skuulwienyi	graduate	noun			ɔ yɛ skuulwienyi	she is a graduate
so	be big	verb			wo so na wo krɔn	you are big and you are high
so	also	adverb			ɔ no so bɛba	he will also come
so	reach a final milestone	verb			sɛ ber no so	if the time comes
so	on	preposition			da pono no so	sleep on the table
so dae	dream	verb			so dae paa	to dream a lot
soa	carry	verb			soa buukuu no	carry the book
sodiyɔm	sodium	science			sodiyɔm (Na) wɔ protɔn 11	sodium (Na) has 11 protons
soɛ	unburden	verb			soɛ me	unburden me
soɛe	settle	verb			soɛe wɔ hɔ	settle there
soɛre	rise	verb			soɛre anapa ndɔn asia	to rise at six in the morning
soɛre	rise	verb			sebɔ soɛre a	if a tiger rises
sofa	sofa	noun			sofa anum	five sofas
sofi	spade	noun			nsofi awɔtwe	eight spades
sohori	ostrich	noun			sohori yɛ anoma	an ostrich is a bird
som	worship	verb			wɔ som abosom	they worship gods
som	service	noun			ndaase som	thanksgiving service
soma	send	verb		assign a task to	soma me	send me
Somalia	Somalia	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Somalia	go to Somalia
Somalianyi	Somalian	noun	obi a ɔ fi Somalia	someone from Somalia	Somaliafo no	the Somalians
sombo	value	noun			sombo kɛse	great value
somebo	accusation	noun			bɔ somebo	lay an accusation
somfo	waiter	noun			ɔ yɛ somfo	he is a waiter
son	elephant	noun			ɔson yɛ kɛse paa	an elephant is very big
sopa	dishonour	noun			wo asopa me	you have dishonoured me
sopana	spanner	noun			sopana kɛse	a big spanner
sordaanyi	soldier	noun			nsordaafo no retow abasa	the soldiers are marching
sornonko	special	adjective			da sornonko	special day
soro	above	preposition		on top of	dan no soro	above the house
soro	up	adverb			hwɛ soro	look up
soroma	star	noun			nsoroma babiree	plenty of stars
sosɔw	peck	verb			akokɔ no resosɔw aburow	the chicken is pecking corn
sow	bear fruit	verb			dua no asow	the tree has borne fruit
sɔ	switch on	verb			sɔ redio no	switch on the radio
sɔ	switch on	verb			sɔ kandea no	switch on the light
sɔ anyi	appreciate	verb			wo anyi nnsɔ weyi	you do not appreciate this
sɔfo	priest	noun			sɔfo wɔ afotu	a priest has advice
sɔfopɔn	bishop	noun			ɔ yɛ sɔfopɔn	she is a bishop
sɔlfa	sulfur	science			sɔlfa (S) wɔ protɔn 16	sulfur (S) has 16 protons
sɔn	drain	verb			fa sɔnyee no sɔn moo no ho nsu	use the collander to drain the rice
sɔnyee	collander	noun			fa sɔnyee no sɔn moo no ho nsu	use the collander to drain the rice
sɔpe	drop	noun			sɔpe sɔpe akokɔ nom nsu	drop by drop a chicken drinks water
sɔre	admire	verb			sɔre obi	to admire someone
sɔw	spread out	verb			sɔw kɛtɛ	spread out a mat
sɔw ... do	continue	verb			sɔw adwuma no do	continue the work
Spen	Spain	noun			yɛ bɛkɔ Spen	we will go to Spain
Spen kasa	Spanish	noun			me ka Spen kasa	I speak Spanish
spese	space	science			spese yɛ vakum	space is a vacuum
sradaa	saw	noun			kapentanyi ne seradaa	the carpenter's saw
srɛ	beg	verb			srɛ ade	to beg for something
Sri Lanka	Sri Lanka	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Sri Lanka	go to Sri Lanka
Sri Lankanyi	Sri Lankan	noun	obi a ɔ fi Sri Lanka	someone from Sri Lanka	Sri Lankafo no	the Sri Lankans
stehyɛn	station	noun			keteke stehyɛn	train station
su	cry	verb			su abere biara	to cry each time
su	character	noun			ne su	her character
sua	learn	verb			wɔ sua kasa	they learn a language
suade	lesson	noun			sua suade no	learn the lesson
suae	swear	verb			suae ntam	swear an oath
suanyi	learner	noun		someone who learns	yɛ yɛ asuafo	we are learners
suapɔn	university	noun			Legon Suapɔn	Legon University
suban	habit	noun			suban bɔne	bad habit
Sudan	Sudan	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Sudan	go to Sudan
Sudan Anaafo	South Sudan	noun	ɔman wɔ Abibir	A country in Africa	kɔ Sudan Anaafo	go to South Sudan
Sudan Anaafonyi	South Sudanese	noun	obi a ɔ fi Sudan Anaafo	someone from South Sudan	Sudan Anaafofo no	the South Sudanese
Sudannyi	Sudanese	noun	obi a ɔ fi Sudan	someone from Sudan	Sudanfo no	the Sudanese
sukookoo	lily	noun			sukookoo yɛ nhyiren	a lily is a flower
sukuu	school	noun	bea a adesua kɔ so	a place where learning happens	me sua kenkan wɔ sukuu	I learn to read at school
sukuunyi	student	noun			sukuufo aduonu	twenty students
sukɔnkɔn	peacock	noun			asukɔnkɔn abiasa	three peacocks
sum	cup	verb			ne nsa sum ne ano	her hand is cupped over her mouth
suma	hide	verb			suma wɔ abow no akyiri	to hide behind the door
sumbui	lead	science			sumbui (Pb) wɔ protɔn 82	lead (Pb) has 82 protons
sumbɔre	tick	noun			nsumbɔre abiasa	three ticks
sumina		noun	bɔɔla			
summ	darkness	noun			anafua de summ ba	night brings darkness
sundi	pillow	noun			sundi na mpa	pillow and bed
sunsuando	consequence	noun			ne nsunsuando	its consequences
sunsuanso	consequence	noun			ne nsunsuanso	its consequences
sunsum	spirit	noun				he has a strong spirit
sunsuma	worm	noun			sunsuma, e rekɔ hen?	worm, where are you going?
sunyame	divine	adjective		like God	tumi sunyame	divine power
suo ... mu	hold	verb		grasp or grip	suo biribi mu den	to hold something firmly
supruw	island	noun			Sehyɛlse supruw	Seychelles island
suro	fear	verb			suro kakae	fear an apparition
suro	fear	noun			suro ahyɛ ne akoma ma	fear has filled her heart
susow	barb	verb			susow tiri	barb hair; cut hair
susu	measure	verb			susu atere abien	measure two spoonfuls
susuw	estimate	verb			susuw wo tenten	estimate your height
suutu	suit	noun			ɔ hyɛ suutu	she wears a suit
Swahili	Swahili	noun			Swahili kasa	Swahili language
Swazilande	Swaziland	noun	Ɔman wɔ Abibir	A country in Africa	kɔ Swazilande	go to Swaziland
Swazilandenyi	Swazi	noun	obi a ɔ fi Swazilande	someone from Swaziland	Swazilandefo no	the Swazis
t	t	noun	Akan akyerɛwamba a ɛ tɔ so du-akron	also written as T	"T" ma tabon	pronounced as /tə/
ta	fart	verb			obi ata	someone has farted
ta	flatulate	verb			ɔ taee	he flatulated
ta	fart	noun			ne ta bɔn	her fart smells badly
taa	often	adverb			ɔ taa ba ha	she often comes here
taa	chase	verb			obiara nntaa no do	no one is chasing him
taabow	plank	noun			taaboo na prɛɛgow	plank and nail
taabow	keyboard	noun			mia "k" wɔ taabow no so	press "k" on the keyboard
taae	tyre	noun			twuw taae	roll a tyre
taahɔbɛdi	lazy	adjective			banyin taahɔbɛdi	lazy man
taban	wing	noun			tamram wɔ ntaban	a dove has wings
tabon	paddle	noun			hɛmba na tabon	canoe and paddle
tae	tie	noun		a necktie	tae no sɛn ne kɔn ho	the tie hangs on his neck
tae-n-dae	tie-and-dye	noun			ɔ hyɛ tae-n-dae atare	she is wearing a tie-and-dye dress
taega	tiger	noun			taega kakraka	a large tiger
Taeland	Thailand	noun	Ɔman wɔ Ahyia	A country in Asia	kɔ Taeland	go to Thailand
Taelandnyi	Thai	noun	obi a ɔ fi Taeland	someone from Thailand	Taelandfo no	the Thais
